TIME(s)	'A,L'	'H,L'	Nloops	nOverlapPartner	nOverlapSystem	nOverlapSpanBox	nDisplace2D	nDisplace3D	nDisplace3Dto2D	nAssocSuccess
0	0	0	0	0	0	0	0	0	0	0
0.000258471	1	3	0	0	0	0	0	0	0	4
0.000516943	2	4	0	0	0	0	0	0	0	6
0.000775414	2	5	0	0	0	0	0	0	0	7
0.00103389	3	6	0	0	0	0	0	0	0	9
0.00129236	4	6	0	0	0	0	0	0	0	11
0.00155083	4	7	0	0	0	0	0	0	0	12
0.0018093	4	7	0	0	0	0	0	0	0	12
0.00206777	7	11	0	0	0	0	0	0	0	20
0.00232624	10	14	0	0	0	0	0	0	0	26
0.00258471	11	14	0	0	0	0	0	0	0	27
0.00284318	12	14	0	0	0	0	0	0	0	28
0.00310166	13	15	0	0	0	0	0	0	0	31
0.00336013	13	16	0	0	0	0	0	0	0	32
0.0036186	13	16	0	0	0	0	0	0	0	32
0.00387707	13	18	0	0	0	0	0	0	0	34
0.00413554	13	21	0	0	0	0	0	0	0	37
0.00439401	13	22	0	0	0	0	0	0	0	38
0.00465248	13	22	0	0	0	0	0	0	0	39
0.00491095	13	22	0	0	0	0	0	0	0	39
0.00516943	15	20	0	0	0	0	0	0	0	41
0.0054279	16	20	0	0	0	0	0	0	0	42
0.00568637	18	20	0	0	0	0	0	0	0	44
0.00594484	18	20	0	0	0	0	0	0	0	45
0.00620331	19	20	0	0	0	0	0	0	0	47
0.00646178	19	20	0	0	0	0	0	0	0	47
0.00672025	19	20	0	0	0	0	0	0	0	47
0.00697872	18	21	0	0	0	0	0	0	0	48
0.0072372	17	20	0	0	0	0	0	0	0	48
0.00749567	18	21	0	0	0	0	0	0	0	51
0.00775414	18	21	0	0	0	0	0	0	0	51
0.00801261	19	23	0	0	0	0	0	0	0	54
0.00827108	20	23	0	0	0	0	0	0	0	55
0.00852955	21	23	0	0	0	0	0	0	0	56
0.00878802	22	23	0	0	0	0	0	0	0	57
0.0090465	22	23	0	0	0	0	0	0	0	57
0.00930497	23	23	0	0	0	0	0	0	0	58
0.00956344	22	23	0	0	0	0	0	0	0	58
0.00982191	23	23	0	0	0	0	0	0	0	59
0.0100804	24	23	0	0	0	0	0	0	0	61
0.0103389	25	23	0	0	0	0	0	0	0	62
0.0105973	23	23	0	0	0	0	0	0	0	62
0.0108558	22	25	0	0	0	0	0	0	0	64
0.0111143	23	25	0	0	0	0	0	0	0	65
0.0113727	22	25	0	0	0	0	0	0	0	65
0.0116312	23	25	0	0	0	0	0	0	0	66
0.0118897	24	25	0	0	0	0	0	0	0	67
0.0121482	23	25	0	0	0	0	0	0	0	67
0.0124066	25	28	0	0	0	0	0	0	0	72
0.0126651	24	29	0	0	0	0	0	0	0	73
0.0129236	25	29	0	0	0	0	0	0	0	75
0.013182	24	29	0	0	0	0	0	0	0	75
0.0134405	24	29	0	0	0	0	0	0	0	75
0.013699	24	28	0	0	0	0	0	0	0	75
0.0139574	24	28	0	0	0	0	0	0	0	75
0.0142159	25	28	0	0	0	0	0	0	0	76
0.0144744	26	27	0	0	0	0	0	0	0	77
0.0147329	27	27	0	0	0	0	0	0	0	78
0.0149913	29	28	0	0	0	0	0	0	0	81
0.0152498	29	28	0	0	0	0	0	0	0	81
0.0155083	29	28	0	0	0	0	0	0	0	81
0.0157667	29	29	0	0	0	0	0	0	0	84
0.0160252	30	30	0	0	0	0	0	0	0	87
0.0162837	28	30	0	0	0	0	0	0	0	87
0.0165422	28	30	0	0	0	0	0	0	0	88
0.0168006	28	30	0	0	0	0	0	0	0	89
0.0170591	28	30	0	0	0	0	0	0	0	89
0.0173176	28	30	0	0	0	0	0	0	0	90
0.017576	28	31	0	0	0	0	0	0	0	91
0.0178345	28	31	0	0	0	0	0	0	0	91
0.018093	28	33	0	0	0	0	0	0	0	94
0.0183515	29	33	0	0	0	0	0	0	0	95
0.0186099	29	34	0	0	0	0	0	0	0	96
0.0188684	30	34	0	0	0	0	0	0	0	97
0.0191269	30	34	0	0	0	0	0	0	0	97
0.0193853	31	33	0	0	0	0	0	0	0	98
0.0196438	32	33	0	0	0	0	0	0	0	99
0.0199023	32	33	0	0	0	0	0	0	0	99
0.0201608	32	34	0	0	0	0	0	0	0	101
0.0204192	31	34	0	0	0	0	0	0	0	101
0.0206777	31	34	0	0	0	0	0	0	0	101
0.0209362	29	34	0	0	0	0	0	0	0	101
0.0211946	30	34	0	0	0	0	0	0	0	102
0.0214531	30	34	0	0	0	0	0	0	0	102
0.0217116	30	34	0	0	0	0	0	0	0	102
0.0219701	30	34	0	0	0	0	0	0	0	102
0.0222285	30	34	0	0	0	0	0	0	0	102
0.022487	30	35	0	0	0	0	0	0	0	103
0.0227455	30	36	0	0	0	0	0	0	0	104
0.0230039	31	35	0	0	0	0	0	0	0	105
0.0232624	31	35	0	0	0	0	0	0	0	106
0.0235209	31	34	0	0	0	0	0	0	0	106
0.0237794	32	34	0	0	0	0	0	0	0	108
0.0240378	32	35	0	0	0	0	0	0	0	109
0.0242963	31	35	0	0	0	0	0	0	0	110
0.0245548	31	34	0	0	0	0	0	0	0	111
0.0248132	31	34	0	0	0	0	0	0	0	112
0.0250717	31	35	0	0	0	0	0	0	0	113
0.0253302	31	35	0	0	0	0	0	0	0	113
0.0255887	31	35	0	0	0	0	0	0	0	113
0.0258471	31	35	0	0	0	0	0	0	0	113
0.0261056	30	35	0	0	0	0	0	0	0	113
0.0263641	31	35	0	0	0	0	0	0	0	114
0.0266225	32	35	0	0	0	0	0	0	0	115
0.026881	32	35	0	0	0	0	0	0	0	116
0.0271395	31	34	0	0	0	0	0	0	0	116
0.027398	31	35	0	0	0	0	0	0	0	117
0.0276564	31	34	0	0	0	0	0	0	0	117
0.0279149	31	35	0	0	0	0	0	0	0	118
0.0281734	31	35	0	0	0	0	0	0	0	119
0.0284318	31	36	0	0	0	0	0	0	0	120
0.0286903	32	36	0	0	0	0	0	0	0	121
0.0289488	33	36	0	0	0	0	0	0	0	122
0.0292073	35	36	0	0	0	0	0	0	0	124
0.0294657	34	35	0	0	0	0	0	0	0	125
0.0297242	34	36	0	0	0	0	0	0	0	127
0.0299827	34	36	0	0	0	0	0	0	0	127
0.0302411	34	36	0	0	0	0	0	0	0	127
0.0304996	34	36	0	0	0	0	0	0	0	128
0.0307581	34	36	0	0	0	0	0	0	0	128
0.0310166	34	36	0	0	0	0	0	0	0	128
0.031275	34	36	0	0	0	0	0	0	0	128
0.0315335	35	36	0	0	0	0	0	0	0	130
0.031792	35	36	0	0	0	0	0	0	0	130
0.0320504	35	36	0	0	0	0	0	0	0	130
0.0323089	35	36	0	0	0	0	0	0	0	130
0.0325674	37	37	0	0	0	0	0	0	0	133
0.0328259	37	37	0	0	0	0	0	0	0	134
0.0330843	35	36	0	0	0	0	0	0	0	134
0.0333428	35	37	0	0	0	0	0	0	0	136
0.0336013	36	36	0	0	0	0	0	0	0	137
0.0338597	35	36	0	0	0	0	0	0	0	137
0.0341182	35	36	0	0	0	0	0	0	0	138
0.0343767	36	36	0	0	0	0	0	0	0	139
0.0346352	37	36	0	0	0	0	0	0	0	140
0.0348936	37	36	0	0	0	0	0	0	0	141
0.0351521	37	36	0	0	0	0	0	0	0	141
0.0354106	38	36	0	0	0	0	0	0	0	142
0.035669	39	35	0	0	0	0	0	0	0	143
0.0359275	39	34	0	0	0	0	0	0	0	143
0.036186	39	34	0	0	0	0	0	0	0	143
0.0364445	39	35	0	0	0	0	0	0	0	144
0.0367029	38	34	0	0	0	0	0	0	0	144
0.0369614	38	34	0	0	0	0	0	0	0	144
0.0372199	38	34	0	0	0	0	0	0	0	144
0.0374783	39	34	0	0	0	0	0	0	0	146
0.0377368	39	35	0	0	0	0	0	0	0	147
0.0379953	38	35	0	0	0	0	0	0	0	147
0.0382538	38	36	0	0	0	0	0	0	0	148
0.0385122	38	37	0	0	0	0	0	0	0	149
0.0387707	38	37	0	0	0	0	0	0	0	149
0.0390292	38	38	0	0	0	0	0	0	0	150
0.0392876	38	38	0	0	0	0	0	0	0	150
0.0395461	38	38	0	0	0	0	0	0	0	151
0.0398046	38	36	0	0	0	0	0	0	0	151
0.0400631	38	36	0	0	0	0	0	0	0	152
0.0403215	38	35	0	0	0	0	0	0	0	152
0.04058	38	35	0	0	0	0	0	0	0	152
0.0408385	39	35	0	0	0	0	0	0	0	154
0.0410969	39	35	0	0	0	0	0	0	0	155
0.0413554	39	35	0	0	0	0	0	0	0	155
0.0416139	39	35	0	0	0	0	0	0	0	155
0.0418723	38	36	0	0	0	0	0	0	0	156
0.0421308	37	36	0	0	0	0	0	0	0	156
0.0423893	37	36	0	0	0	0	0	0	0	156
0.0426478	37	36	0	0	0	0	0	0	0	156
0.0429062	37	36	0	0	0	0	0	0	0	156
0.0431647	39	36	0	0	0	0	0	0	0	158
0.0434232	39	36	0	0	0	0	0	0	0	159
0.0436816	39	35	0	0	0	0	0	0	0	160
0.0439401	39	35	0	0	0	0	0	0	0	160
0.0441986	38	36	0	0	0	0	0	0	0	161
0.0444571	38	35	0	0	0	0	0	0	0	161
0.0447155	38	35	0	0	0	0	0	0	0	161
0.044974	38	35	0	0	0	0	0	0	0	161
0.0452325	38	36	0	0	0	0	0	0	0	162
0.0454909	39	36	0	0	0	0	0	0	0	163
0.0457494	39	36	0	0	0	0	0	0	0	164
0.0460079	40	36	0	0	0	0	0	0	0	165
0.0462664	41	36	0	0	0	0	0	0	0	166
0.0465248	40	35	0	0	0	0	0	0	0	166
0.0467833	40	36	0	0	0	0	0	0	0	167
0.0470418	40	36	0	0	0	0	0	0	0	167
0.0473002	40	35	0	0	0	0	0	0	0	167
0.0475587	40	35	0	0	0	0	0	0	0	167
0.0478172	40	36	0	0	0	0	0	0	0	168
0.0480757	41	36	0	0	0	0	0	0	0	169
0.0483341	40	37	0	0	0	0	0	0	0	170
0.0485926	40	37	0	0	0	0	0	0	0	170
0.0488511	40	37	0	0	0	0	0	0	0	170
0.0491095	40	37	0	0	0	0	0	0	0	170
0.049368	38	37	0	0	0	0	0	0	0	171
0.0496265	38	37	0	0	0	0	0	0	0	172
