Time (s),A(al1),H(hl1),L(la1),L(lh1),A(al1!1).L(la1!1),H(hl1!1).L(lh1!1)
0,75,75,75,75,0,0
0.000258471,74,72,74,72,1,3
0.000516943,73,71,73,71,2,4
0.000775414,73,70,73,70,2,5
0.00103389,72,69,72,69,3,6
0.00129236,71,69,71,69,4,6
0.00155083,71,68,71,68,4,7
0.0018093,71,68,71,68,4,7
0.00206777,68,64,68,64,7,11
0.00232624,65,61,65,61,10,14
0.00258471,64,61,64,61,11,14
0.00284318,63,61,63,61,12,14
0.00310166,62,60,62,60,13,15
0.00336013,62,59,62,59,13,16
0.0036186,62,59,62,59,13,16
0.00387707,62,57,62,57,13,18
0.00413554,62,54,62,54,13,21
0.00439401,62,53,62,53,13,22
0.00465248,62,53,62,53,13,22
0.00491095,62,53,62,53,13,22
0.00516943,60,55,60,55,15,20
0.0054279,59,55,59,55,16,20
0.00568637,57,55,57,55,18,20
0.00594484,57,55,57,55,18,20
0.00620331,56,55,56,55,19,20
0.00646178,56,55,56,55,19,20
0.00672025,56,55,56,55,19,20
0.00697872,57,54,57,54,18,21
0.0072372,58,55,58,55,17,20
0.00749567,57,54,57,54,18,21
0.00775414,57,54,57,54,18,21
0.00801261,56,52,56,52,19,23
0.00827108,55,52,55,52,20,23
0.00852955,54,52,54,52,21,23
0.00878802,53,52,53,52,22,23
0.0090465,53,52,53,52,22,23
0.00930497,52,52,52,52,23,23
0.00956344,53,52,53,52,22,23
0.00982191,52,52,52,52,23,23
0.0100804,51,52,51,52,24,23
0.0103389,50,52,50,52,25,23
0.0105973,52,52,52,52,23,23
0.0108558,53,50,53,50,22,25
0.0111143,52,50,52,50,23,25
0.0113727,53,50,53,50,22,25
0.0116312,52,50,52,50,23,25
0.0118897,51,50,51,50,24,25
0.0121482,52,50,52,50,23,25
0.0124066,50,47,50,47,25,28
0.0126651,51,46,51,46,24,29
0.0129236,50,46,50,46,25,29
0.013182,51,46,51,46,24,29
0.0134405,51,46,51,46,24,29
0.013699,51,47,51,47,24,28
0.0139574,51,47,51,47,24,28
0.0142159,50,47,50,47,25,28
0.0144744,49,48,49,48,26,27
0.0147329,48,48,48,48,27,27
0.0149913,46,47,46,47,29,28
0.0152498,46,47,46,47,29,28
0.0155083,46,47,46,47,29,28
0.0157667,46,46,46,46,29,29
0.0160252,45,45,45,45,30,30
0.0162837,47,45,47,45,28,30
0.0165422,47,45,47,45,28,30
0.0168006,47,45,47,45,28,30
0.0170591,47,45,47,45,28,30
0.0173176,47,45,47,45,28,30
0.017576,47,44,47,44,28,31
0.0178345,47,44,47,44,28,31
0.018093,47,42,47,42,28,33
0.0183515,46,42,46,42,29,33
0.0186099,46,41,46,41,29,34
0.0188684,45,41,45,41,30,34
0.0191269,45,41,45,41,30,34
0.0193853,44,42,44,42,31,33
0.0196438,43,42,43,42,32,33
0.0199023,43,42,43,42,32,33
0.0201608,43,41,43,41,32,34
0.0204192,44,41,44,41,31,34
0.0206777,44,41,44,41,31,34
0.0209362,46,41,46,41,29,34
0.0211946,45,41,45,41,30,34
0.0214531,45,41,45,41,30,34
0.0217116,45,41,45,41,30,34
0.0219701,45,41,45,41,30,34
0.0222285,45,41,45,41,30,34
0.022487,45,40,45,40,30,35
0.0227455,45,39,45,39,30,36
0.0230039,44,40,44,40,31,35
0.0232624,44,40,44,40,31,35
0.0235209,44,41,44,41,31,34
0.0237794,43,41,43,41,32,34
0.0240378,43,40,43,40,32,35
0.0242963,44,40,44,40,31,35
0.0245548,44,41,44,41,31,34
0.0248132,44,41,44,41,31,34
0.0250717,44,40,44,40,31,35
0.0253302,44,40,44,40,31,35
0.0255887,44,40,44,40,31,35
0.0258471,44,40,44,40,31,35
0.0261056,45,40,45,40,30,35
0.0263641,44,40,44,40,31,35
0.0266225,43,40,43,40,32,35
0.026881,43,40,43,40,32,35
0.0271395,44,41,44,41,31,34
0.027398,44,40,44,40,31,35
0.0276564,44,41,44,41,31,34
0.0279149,44,40,44,40,31,35
0.0281734,44,40,44,40,31,35
0.0284318,44,39,44,39,31,36
0.0286903,43,39,43,39,32,36
0.0289488,42,39,42,39,33,36
0.0292073,40,39,40,39,35,36
0.0294657,41,40,41,40,34,35
0.0297242,41,39,41,39,34,36
0.0299827,41,39,41,39,34,36
0.0302411,41,39,41,39,34,36
0.0304996,41,39,41,39,34,36
0.0307581,41,39,41,39,34,36
0.0310166,41,39,41,39,34,36
0.031275,41,39,41,39,34,36
0.0315335,40,39,40,39,35,36
0.031792,40,39,40,39,35,36
0.0320504,40,39,40,39,35,36
0.0323089,40,39,40,39,35,36
0.0325674,38,38,38,38,37,37
0.0328259,38,38,38,38,37,37
0.0330843,40,39,40,39,35,36
0.0333428,40,38,40,38,35,37
0.0336013,39,39,39,39,36,36
0.0338597,40,39,40,39,35,36
0.0341182,40,39,40,39,35,36
0.0343767,39,39,39,39,36,36
0.0346352,38,39,38,39,37,36
0.0348936,38,39,38,39,37,36
0.0351521,38,39,38,39,37,36
0.0354106,37,39,37,39,38,36
0.035669,36,40,36,40,39,35
0.0359275,36,41,36,41,39,34
0.036186,36,41,36,41,39,34
0.0364445,36,40,36,40,39,35
0.0367029,37,41,37,41,38,34
0.0369614,37,41,37,41,38,34
0.0372199,37,41,37,41,38,34
0.0374783,36,41,36,41,39,34
0.0377368,36,40,36,40,39,35
0.0379953,37,40,37,40,38,35
0.0382538,37,39,37,39,38,36
0.0385122,37,38,37,38,38,37
0.0387707,37,38,37,38,38,37
0.0390292,37,37,37,37,38,38
0.0392876,37,37,37,37,38,38
0.0395461,37,37,37,37,38,38
0.0398046,37,39,37,39,38,36
0.0400631,37,39,37,39,38,36
0.0403215,37,40,37,40,38,35
0.04058,37,40,37,40,38,35
0.0408385,36,40,36,40,39,35
0.0410969,36,40,36,40,39,35
0.0413554,36,40,36,40,39,35
0.0416139,36,40,36,40,39,35
0.0418723,37,39,37,39,38,36
0.0421308,38,39,38,39,37,36
0.0423893,38,39,38,39,37,36
0.0426478,38,39,38,39,37,36
0.0429062,38,39,38,39,37,36
0.0431647,36,39,36,39,39,36
0.0434232,36,39,36,39,39,36
0.0436816,36,40,36,40,39,35
0.0439401,36,40,36,40,39,35
0.0441986,37,39,37,39,38,36
0.0444571,37,40,37,40,38,35
0.0447155,37,40,37,40,38,35
0.044974,37,40,37,40,38,35
0.0452325,37,39,37,39,38,36
0.0454909,36,39,36,39,39,36
0.0457494,36,39,36,39,39,36
0.0460079,35,39,35,39,40,36
0.0462664,34,39,34,39,41,36
0.0465248,35,40,35,40,40,35
0.0467833,35,39,35,39,40,36
0.0470418,35,39,35,39,40,36
0.0473002,35,40,35,40,40,35
0.0475587,35,40,35,40,40,35
0.0478172,35,39,35,39,40,36
0.0480757,34,39,34,39,41,36
0.0483341,35,38,35,38,40,37
0.0485926,35,38,35,38,40,37
0.0488511,35,38,35,38,40,37
0.0491095,35,38,35,38,40,37
0.049368,37,38,37,38,38,37
0.0496265,37,38,37,38,38,37
0.049885,37,38,37,38,38,37
0.0501434,37,38,37,38,38,37
0.0504019,37,37,37,37,38,38
0.0506604,37,39,37,39,38,36
0.0509188,37,39,37,39,38,36
0.0511773,37,39,37,39,38,36
0.0514358,36,39,36,39,39,36
0.0516943,36,38,36,38,39,37
0.0519527,35,38,35,38,40,37
0.0522112,34,38,34,38,41,37
0.0524697,34,38,34,38,41,37
0.0527281,33,38,33,38,42,37
0.0529866,34,38,34,38,41,37
0.0532451,34,38,34,38,41,37
0.0535036,35,38,35,38,40,37
0.053762,35,38,35,38,40,37
0.0540205,35,37,35,37,40,38
0.054279,35,36,35,36,40,39
0.0545374,35,36,35,36,40,39
0.0547959,35,37,35,37,40,38
0.0550544,35,37,35,37,40,38
0.0553129,36,36,36,36,39,39
0.0555713,35,36,35,36,40,39
0.0558298,33,36,33,36,42,39
0.0560883,33,36,33,36,42,39
0.0563467,33,36,33,36,42,39
0.0566052,33,36,33,36,42,39
0.0568637,33,36,33,36,42,39
0.0571222,33,37,33,37,42,38
0.0573806,34,37,34,37,41,38
0.0576391,34,38,34,38,41,37
0.0578976,34,38,34,38,41,37
0.058156,36,39,36,39,39,36
0.0584145,36,38,36,38,39,37
0.058673,36,37,36,37,39,38
0.0589315,36,37,36,37,39,38
0.0591899,36,37,36,37,39,38
0.0594484,35,38,35,38,40,37
0.0597069,35,38,35,38,40,37
0.0599653,35,37,35,37,40,38
0.0602238,35,37,35,37,40,38
0.0604823,35,37,35,37,40,38
0.0607408,35,37,35,37,40,38
0.0609992,35,37,35,37,40,38
0.0612577,36,36,36,36,39,39
0.0615162,35,36,35,36,40,39
0.0617746,35,36,35,36,40,39
0.0620331,36,34,36,34,39,41
0.0622916,36,35,36,35,39,40
0.0625501,35,35,35,35,40,40
0.0628085,34,36,34,36,41,39
0.063067,34,36,34,36,41,39
0.0633255,34,36,34,36,41,39
0.0635839,33,36,33,36,42,39
0.0638424,32,36,32,36,43,39
0.0641009,33,36,33,36,42,39
0.0643594,34,35,34,35,41,40
0.0646178,33,33,33,33,42,42
0.0648763,34,33,34,33,41,42
0.0651348,34,32,34,32,41,43
0.0653932,36,32,36,32,39,43
0.0656517,36,31,36,31,39,44
0.0659102,36,31,36,31,39,44
0.0661687,36,32,36,32,39,43
0.0664271,36,32,36,32,39,43
0.0666856,37,32,37,32,38,43
0.0669441,37,30,37,30,38,45
0.0672025,37,29,37,29,38,46
0.067461,37,29,37,29,38,46
0.0677195,36,29,36,29,39,46
0.067978,36,30,36,30,39,45
0.0682364,37,29,37,29,38,46
0.0684949,38,29,38,29,37,46
0.0687534,38,30,38,30,37,45
0.0690118,37,30,37,30,38,45
0.0692703,37,30,37,30,38,45
0.0695288,38,30,38,30,37,45
0.0697872,38,30,38,30,37,45
0.0700457,37,31,37,31,38,44
0.0703042,37,31,37,31,38,44
0.0705627,37,33,37,33,38,42
0.0708211,38,34,38,34,37,41
0.0710796,39,34,39,34,36,41
0.0713381,38,34,38,34,37,41
0.0715965,38,34,38,34,37,41
0.071855,40,34,40,34,35,41
0.0721135,40,34,40,34,35,41
0.072372,39,33,39,33,36,42
0.0726304,39,33,39,33,36,42
0.0728889,39,33,39,33,36,42
0.0731474,39,33,39,33,36,42
0.0734058,39,33,39,33,36,42
0.0736643,39,33,39,33,36,42
0.0739228,39,33,39,33,36,42
0.0741813,39,34,39,34,36,41
0.0744397,40,35,40,35,35,40
0.0746982,41,34,41,34,34,41
0.0749567,41,34,41,34,34,41
0.0752151,42,34,42,34,33,41
0.0754736,43,34,43,34,32,41
0.0757321,43,35,43,35,32,40
0.0759906,43,35,43,35,32,40
0.076249,42,35,42,35,33,40
0.0765075,41,36,41,36,34,39
0.076766,41,36,41,36,34,39
0.0770244,40,36,40,36,35,39
0.0772829,40,35,40,35,35,40
0.0775414,39,35,39,35,36,40
0.0777999,39,36,39,36,36,39
0.0780583,39,36,39,36,36,39
0.0783168,40,36,40,36,35,39
0.0785753,40,36,40,36,35,39
0.0788337,40,37,40,37,35,38
0.0790922,39,38,39,38,36,37
0.0793507,39,36,39,36,36,39
0.0796092,39,35,39,35,36,40
0.0798676,39,34,39,34,36,41
0.0801261,40,35,40,35,35,40
0.0803846,39,35,39,35,36,40
0.080643,39,34,39,34,36,41
0.0809015,39,35,39,35,36,40
0.08116,38,34,38,34,37,41
0.0814185,38,33,38,33,37,42
0.0816769,38,33,38,33,37,42
0.0819354,37,34,37,34,38,41
0.0821939,37,34,37,34,38,41
0.0824523,37,34,37,34,38,41
0.0827108,37,34,37,34,38,41
0.0829693,36,34,36,34,39,41
0.0832278,36,34,36,34,39,41
0.0834862,36,34,36,34,39,41
0.0837447,36,34,36,34,39,41
0.0840032,36,34,36,34,39,41
0.0842616,35,33,35,33,40,42
0.0845201,35,32,35,32,40,43
0.0847786,35,33,35,33,40,42
0.0850371,34,33,34,33,41,42
0.0852955,34,33,34,33,41,42
0.085554,34,33,34,33,41,42
0.0858125,35,33,35,33,40,42
0.0860709,34,33,34,33,41,42
0.0863294,34,33,34,33,41,42
0.0865879,34,32,34,32,41,43
0.0868464,32,30,32,30,43,45
0.0871048,31,30,31,30,44,45
0.0873633,31,31,31,31,44,44
0.0876218,31,31,31,31,44,44
0.0878802,30,31,30,31,45,44
0.0881387,30,32,30,32,45,43
0.0883972,31,33,31,33,44,42
0.0886557,31,34,31,34,44,41
0.0889141,30,35,30,35,45,40
0.0891726,32,37,32,37,43,38
0.0894311,33,37,33,37,42,38
0.0896895,34,37,34,37,41,38
0.089948,34,37,34,37,41,38
0.0902065,34,37,34,37,41,38
0.090465,34,36,34,36,41,39
0.0907234,35,36,35,36,40,39
0.0909819,34,36,34,36,41,39
0.0912404,33,36,33,36,42,39
0.0914988,33,36,33,36,42,39
0.0917573,33,36,33,36,42,39
0.0920158,33,36,33,36,42,39
0.0922743,33,35,33,35,42,40
0.0925327,33,35,33,35,42,40
0.0927912,33,34,33,34,42,41
0.0930497,33,35,33,35,42,40
0.0933081,35,34,35,34,40,41
0.0935666,36,34,36,34,39,41
0.0938251,36,34,36,34,39,41
0.0940836,36,33,36,33,39,42
0.094342,36,32,36,32,39,43
0.0946005,36,32,36,32,39,43
0.094859,36,33,36,33,39,42
0.0951174,36,33,36,33,39,42
0.0953759,36,32,36,32,39,43
0.0956344,36,33,36,33,39,42
0.0958929,35,34,35,34,40,41
0.0961513,35,34,35,34,40,41
0.0964098,36,34,36,34,39,41
0.0966683,36,34,36,34,39,41
0.0969267,35,34,35,34,40,41
0.0971852,35,34,35,34,40,41
0.0974437,34,33,34,33,41,42
0.0977021,32,34,32,34,43,41
0.0979606,32,34,32,34,43,41
0.0982191,33,34,33,34,42,41
0.0984776,33,34,33,34,42,41
0.098736,34,33,34,33,41,42
0.0989945,33,34,33,34,42,41
0.099253,31,33,31,33,44,42
0.0995114,31,33,31,33,44,42
0.0997699,32,34,32,34,43,41
0.100028,34,34,34,34,41,41
0.100287,34,34,34,34,41,41
0.100545,34,35,34,35,41,40
