Time (s): 0
75	H: 1. 
75	L: 1. 
75	A: 1. 
Time (s): 0.000258471
1	A: 1. H: 1. L: 1. 
2	H: 1. L: 1. 
72	H: 1. 
72	L: 1. 
74	A: 1. 
Time (s): 0.000516943
1	A: 1. H: 1. L: 1. 
70	L: 1. 
3	H: 1. L: 1. 
71	H: 1. 
1	A: 1. L: 1. 
73	A: 1. 
Time (s): 0.000775414
1	A: 1. H: 1. L: 1. 
69	L: 1. 
4	H: 1. L: 1. 
70	H: 1. 
1	A: 1. L: 1. 
73	A: 1. 
Time (s): 0.00103389
69	H: 1. 
2	A: 1. H: 1. L: 1. 
1	A: 1. L: 1. 
4	H: 1. L: 1. 
68	L: 1. 
72	A: 1. 
Time (s): 0.00129236
69	H: 1. 
2	A: 1. H: 1. L: 1. 
2	A: 1. L: 1. 
4	H: 1. L: 1. 
67	L: 1. 
71	A: 1. 
Time (s): 0.00155083
68	H: 1. 
2	A: 1. H: 1. L: 1. 
2	A: 1. L: 1. 
5	H: 1. L: 1. 
66	L: 1. 
71	A: 1. 
Time (s): 0.0018093
68	H: 1. 
2	A: 1. H: 1. L: 1. 
2	A: 1. L: 1. 
5	H: 1. L: 1. 
66	L: 1. 
71	A: 1. 
Time (s): 0.00206777
64	H: 1. 
2	A: 1. H: 1. L: 1. 
5	A: 1. L: 1. 
9	H: 1. L: 1. 
59	L: 1. 
68	A: 1. 
Time (s): 0.00232624
61	H: 1. 
3	A: 1. H: 1. L: 1. 
7	A: 1. L: 1. 
11	H: 1. L: 1. 
54	L: 1. 
65	A: 1. 
Time (s): 0.00258471
61	H: 1. 
3	A: 1. H: 1. L: 1. 
8	A: 1. L: 1. 
11	H: 1. L: 1. 
53	L: 1. 
64	A: 1. 
Time (s): 0.00284318
61	H: 1. 
3	A: 1. H: 1. L: 1. 
9	A: 1. L: 1. 
11	H: 1. L: 1. 
52	L: 1. 
63	A: 1. 
Time (s): 0.00310166
60	H: 1. 
4	A: 1. H: 1. L: 1. 
9	A: 1. L: 1. 
11	H: 1. L: 1. 
51	L: 1. 
62	A: 1. 
Time (s): 0.00336013
59	H: 1. 
4	A: 1. H: 1. L: 1. 
9	A: 1. L: 1. 
12	H: 1. L: 1. 
50	L: 1. 
62	A: 1. 
Time (s): 0.0036186
59	H: 1. 
4	A: 1. H: 1. L: 1. 
9	A: 1. L: 1. 
12	H: 1. L: 1. 
50	L: 1. 
62	A: 1. 
Time (s): 0.00387707
57	H: 1. 
4	A: 1. H: 1. L: 1. 
9	A: 1. L: 1. 
14	H: 1. L: 1. 
48	L: 1. 
62	A: 1. 
Time (s): 0.00413554
54	H: 1. 
4	A: 1. H: 1. L: 1. 
9	A: 1. L: 1. 
17	H: 1. L: 1. 
45	L: 1. 
62	A: 1. 
Time (s): 0.00439401
53	H: 1. 
4	A: 1. H: 1. L: 1. 
9	A: 1. L: 1. 
18	H: 1. L: 1. 
44	L: 1. 
62	A: 1. 
Time (s): 0.00465248
53	H: 1. 
4	A: 1. H: 1. L: 1. 
9	A: 1. L: 1. 
18	H: 1. L: 1. 
44	L: 1. 
62	A: 1. 
Time (s): 0.00491095
53	H: 1. 
4	A: 1. H: 1. L: 1. 
9	A: 1. L: 1. 
18	H: 1. L: 1. 
44	L: 1. 
62	A: 1. 
Time (s): 0.00516943
55	H: 1. 
3	A: 1. H: 1. L: 1. 
12	A: 1. L: 1. 
17	H: 1. L: 1. 
43	L: 1. 
60	A: 1. 
Time (s): 0.0054279
55	H: 1. 
4	A: 1. H: 1. L: 1. 
12	A: 1. L: 1. 
16	H: 1. L: 1. 
43	L: 1. 
59	A: 1. 
Time (s): 0.00568637
55	H: 1. 
5	A: 1. H: 1. L: 1. 
13	A: 1. L: 1. 
15	H: 1. L: 1. 
42	L: 1. 
57	A: 1. 
Time (s): 0.00594484
55	H: 1. 
5	A: 1. H: 1. L: 1. 
13	A: 1. L: 1. 
15	H: 1. L: 1. 
42	L: 1. 
57	A: 1. 
Time (s): 0.00620331
55	H: 1. 
5	A: 1. H: 1. L: 1. 
