TIME (s) 	MONO:A	DIMERS W:A	MONO:H	DIMERS W:H	MONO:L	DIMERS W:L	
0	75	0	75	0	75	0	
0.000258471	74	0	72	2	72	2	
0.000516943	73	1	71	3	70	4	
0.000775414	73	1	70	4	69	5	
0.00103389	72	1	69	4	68	5	
0.00129236	71	2	69	4	67	6	
0.00155083	71	2	68	5	66	7	
0.0018093	71	2	68	5	66	7	
0.00206777	68	5	64	9	59	14	
0.00232624	65	7	61	11	54	18	
0.00258471	64	8	61	11	53	19	
0.00284318	63	9	61	11	52	20	
0.00310166	62	9	60	11	51	20	
0.00336013	62	9	59	12	50	21	
0.0036186	62	9	59	12	50	21	
0.00387707	62	9	57	14	48	23	
0.00413554	62	9	54	17	45	26	
0.00439401	62	9	53	18	44	27	
0.00465248	62	9	53	18	44	27	
0.00491095	62	9	53	18	44	27	
0.00516943	60	12	55	17	43	29	
0.0054279	59	12	55	16	43	28	
0.00568637	57	13	55	15	42	28	
0.00594484	57	13	55	15	42	28	
0.00620331	56	14	55	15	41	29	
0.00646178	56	14	55	15	41	29	
0.00672025	56	14	55	15	41	29	
0.00697872	57	13	54	16	41	29	
0.0072372	58	13	55	16	42	29	
0.00749567	57	13	54	16	41	29	
0.00775414	57	13	54	16	41	29	
0.00801261	56	13	52	17	39	30	
0.00827108	55	13	52	16	39	29	
0.00852955	54	14	52	16	38	30	
0.00878802	53	14	52	15	38	29	
0.0090465	53	14	52	15	38	29	
0.00930497	52	15	52	15	37	30	
0.00956344	53	14	52	15	38	29	
0.00982191	52	15	52	15	37	30	
0.0100804	51	15	52	14	37	29	
0.0103389	50	15	52	13	37	28	
0.0105973	52	14	52	14	38	28	
0.0108558	53	13	50	16	37	29	
0.0111143	52	13	50	15	37	28	
0.0113727	53	13	50	16	37	29	
0.0116312	52	14	50	16	36	30	
0.0118897	51	15	50	16	35	31	
0.0121482	52	15	50	17	35	32	
0.0124066	50	16	47	19	31	35	
0.0126651	51	14	46	19	32	33	
0.0129236	50	14	46	18	32	32	
0.013182	51	13	46	18	33	31	
0.0134405	51	13	46	18	33	31	
0.013699	51	13	47	17	34	30	
0.0139574	51	13	47	17	34	30	
0.0142159	50	14	47	17	33	31	
0.0144744	49	15	48	16	33	31	
0.0147329	48	16	48	16	32	32	
0.0149913	46	17	47	16	30	33	
0.0152498	46	17	47	16	30	33	
0.0155083	46	17	47	16	30	33	
0.0157667	46	17	46	17	29	34	
0.0160252	45	17	45	17	28	34	
0.0162837	47	15	45	17	30	32	
0.0165422	47	15	45	17	30	32	
0.0168006	47	15	45	17	30	32	
0.0170591	47	15	45	17	30	32	
0.0173176	47	15	45	17	30	32	
0.017576	47	15	44	18	29	33	
0.0178345	47	15	44	18	29	33	
0.018093	47	14	42	19	28	33	
0.0183515	46	14	42	18	28	32	
0.0186099	46	14	41	19	27	33	
0.0188684	45	15	41	19	26	34	
0.0191269	45	15	41	19	26	34	
0.0193853	44	16	42	18	26	34	
0.0196438	43	16	42	17	26	33	
0.0199023	43	16	42	17	26	33	
0.0201608	43	16	41	18	25	34	
0.0204192	44	16	41	19	25	35	
0.0206777	44	16	41	19	25	35	
0.0209362	46	15	41	20	26	35	
0.0211946	45	15	41	19	26	34	
0.0214531	45	15	41	19	26	34	
0.0217116	45	15	41	19	26	34	
0.0219701	45	15	41	19	26	34	
0.0222285	45	15	41	19	26	34	
0.022487	45	15	40	20	25	35	
0.0227455	45	14	39	20	25	34	
0.0230039	44	15	40	19	25	34	
0.0232624	44	15	40	19	25	34	
0.0235209	44	15	41	18	26	33	
0.0237794	43	15	41	17	26	32	
0.0240378	43	14	40	17	26	31	
0.0242963	44	12	40	16	28	28	
0.0245548	44	13	41	16	28	29	
0.0248132	44	13	41	16	28	29	
0.0250717	44	13	40	17	27	30	
0.0253302	44	13	40	17	27	30	
0.0255887	44	13	40	17	27	30	
0.0258471	44	13	40	17	27	30	
0.0261056	45	13	40	18	27	31	
0.0263641	44	13	40	17	27	30	
0.0266225	43	14	40	17	26	31	
0.026881	43	13	40	16	27	29	
0.0271395	44	14	41	17	27	31	
0.027398	44	13	40	17	27	30	
0.0276564	44	13	41	16	28	29	
0.0279149	44	13	40	17	27	30	
0.0281734	44	14	40	18	26	32	
0.0284318	44	14	39	19	25	33	
0.0286903	43	14	39	18	25	32	
0.0289488	42	15	39	18	24	33	
0.0292073	40	16	39	17	23	33	
0.0294657	41	17	40	18	23	35	
0.0297242	41	17	39	19	22	36	
0.0299827	41	17	39	19	22	36	
0.0302411	41	17	39	19	22	36	
0.0304996	41	16	39	18	23	34	
0.0307581	41	16	39	18	23	34	
0.0310166	41	16	39	18	23	34	
0.031275	41	16	39	18	23	34	
0.0315335	40	16	39	17	23	33	
0.031792	40	16	39	17	23	33	
0.0320504	40	16	39	17	23	33	
0.0323089	40	16	39	17	23	33	
0.0325674	38	15	38	15	23	30	
0.0328259	38	15	38	15	23	30	
0.0330843	40	16	39	17	23	33	
0.0333428	40	15	38	17	23	32	
0.0336013	39	15	39	15	24	30	
0.0338597	40	14	39	15	25	29	
0.0341182	40	13	39	14	26	27	
0.0343767	39	13	39	13	26	26	
0.0346352	38	14	39	13	25	27	
0.0348936	38	14	39	13	25	27	
0.0351521	38	14	39	13	25	27	
0.0354106	37	15	39	13	24	28	
0.035669	36	16	40	12	24	28	
0.0359275	36	17	41	12	24	29	
0.036186	36	17	41	12	24	29	
0.0364445	36	17	40	13	23	30	
0.0367029	37	17	41	13	24	30	
0.0369614	37	17	41	13	24	30	
0.0372199	37	17	41	13	24	30	
0.0374783	36	18	41	13	23	31	
0.0377368	36	17	40	13	23	30	
0.0379953	37	17	40	14	23	31	
0.0382538	37	17	39	15	22	32	
0.0385122	37	16	38	15	22	31	
0.0387707	37	16	38	15	22	31	
0.0390292	37	16	37	16	21	32	
0.0392876	37	16	37	16	21	32	
0.0395461	37	16	37	16	21	32	
0.0398046	37	18	39	16	21	34	
0.0400631	37	18	39	16	21	34	
0.0403215	37	19	40	16	21	35	
0.04058	37	19	40	16	21	35	
0.0408385	36	20	40	16	20	36	
0.0410969	36	20	40	16	20	36	
0.0413554	36	20	40	16	20	36	
0.0416139	36	20	40	16	20	36	
0.0418723	37	19	39	17	20	36	
0.0421308	38	18	39	17	21	35	
0.0423893	38	18	39	17	21	35	
0.0426478	38	18	39	17	21	35	
0.0429062	38	18	39	17	21	35	
0.0431647	36	19	39	16	20	35	
0.0434232	36	19	39	16	20	35	
0.0436816	36	20	40	16	20	36	
0.0439401	36	20	40	16	20	36	
0.0441986	37	19	39	17	20	36	
0.0444571	37	19	40	16	21	35	
0.0447155	37	19	40	16	21	35	
0.044974	37	19	40	16	21	35	
0.0452325	37	19	39	17	20	36	
0.0454909	36	19	39	16	20	35	
0.0457494	36	18	39	15	21	33	
0.0460079	35	18	39	14	21	32	
0.0462664	34	19	39	14	20	33	
0.0465248	35	19	40	14	21	33	
0.0467833	35	19	39	15	20	34	
0.0470418	35	19	39	15	20	34	
0.0473002	35	20	40	15	20	35	
0.0475587	35	20	40	15	20	35	
0.0478172	35	20	39	16	19	36	
0.0480757	34	20	39	15	19	35	
0.0483341	35	19	38	16	19	35	
0.0485926	35	19	38	16	19	35	
0.0488511	35	19	38	16	19	35	
0.0491095	35	19	38	16	19	35	
0.049368	37	18	38	17	20	35	
0.0496265	37	19	38	18	19	37	
0.049885	37	19	38	18	19	37	
0.0501434	37	18	38	17	20	35	
0.0504019	37	18	37	18	19	36	
0.0506604	37	19	39	17	20	36	
0.0509188	37	19	39	17	20	36	
0.0511773	37	19	39	17	20	36	
0.0514358	36	20	39	17	19	37	
0.0516943	36	19	38	17	19	36	
0.0519527	35	19	38	16	19	35	
0.0522112	34	20	38	16	18	36	
0.0524697	34	20	38	16	18	36	
0.0527281	33	20	38	15	18	35	
0.0529866	34	19	38	15	19	34	
0.0532451	34	19	38	15	19	34	
0.0535036	35	18	38	15	20	33	
0.053762	35	18	38	15	20	33	
0.0540205	35	18	37	16	19	34	
0.054279	35	18	36	17	18	35	
0.0545374	35	18	36	17	18	35	
0.0547959	35	19	37	17	18	36	
0.0550544	35	19	37	17	18	36	
0.0553129	36	19	36	19	17	38	
0.0555713	35	20	36	19	16	39	
