TIME(s)	'A,A'	Nloops	nOverlapPartner	nOverlapSystem	nOverlapSpanBox	nDisplace2D	nDisplace3D	nDisplace3Dto2D	nAssocSuccess
0	0	0	0	0	0	0	0	0	0
0.000456528	5	1	0	0	0	0	0	0	4
0.000913057	11	2	0	0	0	0	0	0	9
0.00136959	18	4	0	0	0	0	0	0	14
0.00182611	24	6	1	0	0	0	0	0	18
0.00228264	31	9	1	0	0	0	0	0	22
0.00273917	31	9	1	0	0	0	0	0	22
0.0031957	37	12	1	0	0	0	0	0	25
0.00365223	39	12	1	0	0	0	0	0	27
0.00410876	43	13	2	0	0	0	0	0	30
0.00456528	47	15	3	0	0	0	0	0	32
0.00502181	50	16	3	0	0	0	0	0	35
0.00547834	55	19	3	0	0	0	0	0	37
0.00593487	58	19	3	0	0	0	0	0	40
0.0063914	58	19	3	0	0	0	0	0	40
0.00684793	58	19	3	0	0	0	0	0	40
0.00730446	60	20	3	0	0	0	0	0	42
0.00776098	60	20	3	0	0	0	0	0	42
0.00821751	60	20	4	0	0	0	0	0	42
0.00867404	60	20	5	0	0	0	0	0	42
0.00913057	60	20	5	0	0	0	0	0	42
0.0095871	63	22	6	0	0	0	0	0	43
0.0100436	63	22	6	0	0	0	0	0	43
0.0105002	66	24	6	0	0	0	0	0	44
0.0109567	66	24	6	0	0	0	0	0	44
0.0114132	68	26	6	0	0	0	0	0	45
0.0118697	68	26	6	0	0	0	0	0	45
0.0123263	68	26	6	0	0	0	0	0	45
0.0127828	70	27	6	0	0	0	0	0	46
0.0132393	70	27	6	0	0	0	0	0	46
0.0136959	70	27	6	0	0	0	0	0	47
0.0141524	70	27	6	0	0	0	0	0	47
0.0146089	70	27	6	0	0	0	0	0	47
0.0150654	71	27	6	0	0	0	0	0	48
0.015522	74	29	6	0	0	0	0	0	50
0.0159785	78	31	6	0	0	0	0	0	52
0.016435	78	31	6	0	0	0	0	0	52
0.0168916	81	32	6	0	0	0	0	0	54
0.0173481	81	32	7	0	0	0	0	0	54
0.0178046	80	32	7	0	0	0	0	0	54
0.0182611	80	32	7	0	0	0	0	0	54
0.0187177	80	32	7	0	0	0	0	0	54
0.0191742	81	32	8	0	0	0	0	0	55
0.0196307	81	32	8	0	0	0	0	0	55
0.0200873	81	32	8	0	0	0	0	0	55
0.0205438	81	32	8	0	0	0	0	0	55
0.0210003	81	32	8	0	0	0	0	0	55
0.0214568	81	32	8	0	0	0	0	0	55
0.0219134	81	32	10	0	0	0	0	0	55
0.0223699	80	32	11	0	0	0	0	0	55
0.0228264	80	32	11	0	0	0	0	0	55
0.023283	80	32	11	0	0	0	0	0	55
0.0237395	80	32	11	0	0	0	0	0	55
0.024196	80	32	13	0	0	0	0	0	55
0.0246525	80	32	13	0	0	0	0	0	55
0.0251091	80	32	13	0	0	0	0	0	55
0.0255656	80	32	14	0	0	0	0	0	56
0.0260221	80	32	14	0	0	0	0	0	56
0.0264786	80	32	14	0	0	0	0	0	56
0.0269352	81	32	14	0	0	0	0	0	57
0.0273917	80	32	14	0	0	0	0	0	57
0.0278482	80	32	14	0	0	0	0	0	57
0.0283048	80	32	14	0	0	0	0	0	58
0.0287613	80	32	14	0	0	0	0	0	58
0.0292178	80	32	15	0	0	0	0	0	58
0.0296743	80	32	15	0	0	0	0	0	58
0.0301309	82	33	16	0	0	0	0	0	59
0.0305874	82	33	16	0	0	0	0	0	59
0.0310439	82	33	17	0	0	0	0	0	59
0.0315005	82	33	19	0	0	0	0	0	59
0.031957	85	35	20	0	0	0	0	0	60
0.0324135	87	36	21	0	0	0	0	0	61
0.03287	87	36	21	0	0	0	0	0	61
0.0333266	87	36	21	0	0	0	0	0	61
0.0337831	87	36	21	0	0	0	0	0	61
0.0342396	87	36	21	0	0	0	0	0	61
0.0346962	87	36	21	0	0	0	0	0	61
0.0351527	87	36	21	0	0	0	0	0	61
0.0356092	87	36	21	0	0	0	0	0	61
0.0360657	87	36	21	0	0	0	0	0	61
0.0365223	91	39	21	0	0	0	0	0	62
0.0369788	91	39	22	0	0	0	0	0	62
0.0374353	91	39	22	0	0	0	0	0	62
0.0378919	91	39	23	0	0	0	0	0	62
0.0383484	91	39	23	0	0	0	0	0	62
0.0388049	91	39	23	0	0	0	0	0	62
0.0392614	91	39	23	0	0	0	0	0	62
0.039718	91	39	23	0	0	0	0	0	62
0.0401745	91	39	23	0	0	0	0	0	62
0.040631	93	40	23	0	0	0	0	0	63
0.0410876	93	40	23	0	0	0	0	0	63
0.0415441	93	40	23	0	0	0	0	0	63
0.0420006	92	40	23	0	0	0	0	0	63
0.0424571	92	40	23	0	0	0	0	0	63
0.0429137	92	40	23	0	0	0	0	0	63
