Time (s),A(aa1),A(aa2),A(aa3),A(aa1!1).A(aa1!1),A(aa2!1).A(aa2!1),A(aa3!1).A(aa3!1)
0,75,75,75,0,0,0
0.000456528,73,69,73,1,3,1
0.000913057,69,65,69,3,5,3
0.00136959,65,59,65,5,8,5
0.00182611,61,57,59,7,9,8
0.00228264,57,51,55,9,12,10
0.00273917,57,51,55,9,12,10
0.0031957,53,47,51,11,14,12
0.00365223,51,45,51,12,15,12
0.00410876,49,43,47,13,16,14
0.00456528,47,39,45,14,18,15
0.00502181,45,39,41,15,18,17
0.00547834,41,35,39,17,20,18
0.00593487,35,35,39,20,20,18
0.0063914,35,35,39,20,20,18
0.00684793,35,35,39,20,20,18
0.00730446,33,37,35,21,19,20
0.00776098,33,37,35,21,19,20
0.00821751,33,37,35,21,19,20
0.00867404,33,37,35,21,19,20
0.00913057,33,37,35,21,19,20
0.0095871,31,33,35,22,21,20
0.0100436,31,33,35,22,21,20
0.0105002,29,31,33,23,22,21
0.0109567,29,31,33,23,22,21
0.0114132,29,29,31,23,23,22
0.0118697,29,29,31,23,23,22
0.0123263,29,29,31,23,23,22
0.0127828,29,27,29,23,24,23
0.0132393,29,27,29,23,24,23
0.0136959,31,25,29,22,25,23
0.0141524,31,25,29,22,25,23
0.0146089,31,25,29,22,25,23
0.0150654,31,25,27,22,25,24
0.015522,29,23,25,23,26,25
0.0159785,25,21,23,25,27,26
0.016435,25,21,23,25,27,26
0.0168916,23,19,21,26,28,27
0.0173481,23,19,21,26,28,27
0.0178046,25,19,21,25,28,27
0.0182611,25,19,21,25,28,27
0.0187177,25,19,21,25,28,27
0.0191742,23,19,21,26,28,27
0.0196307,23,19,21,26,28,27
0.0200873,23,19,21,26,28,27
0.0205438,23,19,21,26,28,27
0.0210003,23,19,21,26,28,27
0.0214568,23,19,21,26,28,27
0.0219134,23,19,21,26,28,27
0.0223699,25,19,21,25,28,27
0.0228264,25,19,21,25,28,27
0.023283,25,19,21,25,28,27
0.0237395,25,19,21,25,28,27
0.024196,25,19,21,25,28,27
0.0246525,25,19,21,25,28,27
0.0251091,25,19,21,25,28,27
0.0255656,25,19,21,25,28,27
0.0260221,25,19,21,25,28,27
0.0264786,25,19,21,25,28,27
0.0269352,23,19,21,26,28,27
0.0273917,25,19,21,25,28,27
0.0278482,25,19,21,25,28,27
0.0283048,23,19,23,26,28,26
0.0287613,23,19,23,26,28,26
0.0292178,23,19,23,26,28,26
0.0296743,23,19,23,26,28,26
0.0301309,23,17,21,26,29,27
0.0305874,23,17,21,26,29,27
0.0310439,23,17,21,26,29,27
0.0315005,23,17,21,26,29,27
0.031957,21,15,19,27,30,28
0.0324135,19,15,17,28,30,29
0.03287,19,15,17,28,30,29
0.0333266,19,15,17,28,30,29
0.0337831,19,15,17,28,30,29
0.0342396,19,15,17,28,30,29
0.0346962,19,15,17,28,30,29
0.0351527,19,15,17,28,30,29
0.0356092,19,15,17,28,30,29
0.0360657,19,15,17,28,30,29
0.0365223,15,15,13,30,30,31
0.0369788,15,15,13,30,30,31
0.0374353,15,15,13,30,30,31
0.0378919,15,15,13,30,30,31
0.0383484,15,15,13,30,30,31
0.0388049,15,15,13,30,30,31
0.0392614,15,15,13,30,30,31
0.039718,15,15,13,30,30,31
0.0401745,15,15,13,30,30,31
0.040631,15,13,11,30,31,32
0.0410876,15,13,11,30,31,32
0.0415441,15,13,11,30,31,32
0.0420006,15,13,13,30,31,31
0.0424571,15,13,13,30,31,31
0.0429137,15,13,13,30,31,31
0.0433702,15,13,13,30,31,31
0.0438267,15,13,13,30,31,31
0.0442833,15,13,13,30,31,31
0.0447398,15,13,13,30,31,31
0.0451963,15,13,13,30,31,31
0.0456528,15,13,13,30,31,31
0.0461094,15,13,13,30,31,31
0.0465659,15,13,13,30,31,31
0.0470224,15,13,13,30,31,31
0.047479,15,13,13,30,31,31
0.0479355,15,13,13,30,31,31
0.048392,15,13,13,30,31,31
0.0488485,15,13,13,30,31,31
0.0493051,15,13,13,30,31,31
0.0497616,15,13,13,30,31,31
0.0502181,15,13,13,30,31,31
0.0506747,15,13,13,30,31,31
0.0511312,13,11,11,31,32,32
0.0515877,13,11,11,31,32,32
0.0520442,13,11,11,31,32,32
0.0525008,13,11,11,31,32,32
0.0529573,15,11,11,30,32,32
0.0534138,15,11,11,30,32,32
0.0538704,15,11,11,30,32,32
0.0543269,15,11,11,30,32,32
0.0547834,15,11,11,30,32,32
0.0552399,15,11,11,30,32,32
0.0556965,15,11,11,30,32,32
0.056153,15,11,11,30,32,32
0.0566095,15,11,11,30,32,32
0.0570661,15,11,11,30,32,32
0.0575226,13,9,9,31,33,33
0.0579791,13,9,9,31,33,33
0.0584356,13,9,9,31,33,33
0.0588922,13,9,9,31,33,33
0.0593487,13,9,9,31,33,33
0.0598052,13,9,9,31,33,33
0.0602618,11,7,7,32,34,34
0.0607183,9,5,5,33,35,35
0.0611748,9,5,5,33,35,35
0.0616313,9,5,5,33,35,35
0.0620879,9,5,5,33,35,35
0.0625444,9,5,5,33,35,35
0.0630009,9,5,5,33,35,35
0.0634575,9,5,5,33,35,35
0.063914,9,5,5,33,35,35
0.0643705,9,5,5,33,35,35
0.064827,9,5,5,33,35,35
0.0652836,9,5,5,33,35,35
0.0657401,9,5,5,33,35,35
0.0661966,9,5,5,33,35,35
0.0666532,9,5,5,33,35,35
0.0671097,9,5,5,33,35,35
0.0675662,9,5,5,33,35,35
0.0680227,9,5,5,33,35,35
0.0684793,9,5,5,33,35,35
0.0689358,9,5,5,33,35,35
0.0693923,9,5,5,33,35,35
0.0698489,9,5,5,33,35,35
0.0703054,9,5,5,33,35,35
0.0707619,9,5,5,33,35,35
0.0712184,9,5,5,33,35,35
0.071675,9,5,5,33,35,35
0.0721315,9,5,5,33,35,35
0.072588,9,5,5,33,35,35
0.0730446,9,5,5,33,35,35
0.0735011,9,5,5,33,35,35
0.0739576,9,5,5,33,35,35
0.0744141,9,5,5,33,35,35
0.0748707,9,5,5,33,35,35
0.0753272,9,5,5,33,35,35
0.0757837,9,5,5,33,35,35
0.0762403,9,5,5,33,35,35
0.0766968,9,5,5,33,35,35
0.0771533,9,5,5,33,35,35
0.0776098,9,5,5,33,35,35
