Time (s): 0
75	A: 1. 
Time (s): 0.000456528
2	A: 2. 
1	A: 3. 
68	A: 1. 
Time (s): 0.000913057
5	A: 2. 
2	A: 3. 
59	A: 1. 
Time (s): 0.00136959
6	A: 2. 
4	A: 3. 
51	A: 1. 
Time (s): 0.00182611
6	A: 2. 
6	A: 3. 
45	A: 1. 
Time (s): 0.00228264
6	A: 3. 
7	A: 2. 
1	A: 4. 
39	A: 1. 
Time (s): 0.00273917
6	A: 3. 
7	A: 2. 
1	A: 4. 
39	A: 1. 
Time (s): 0.0031957
6	A: 3. 
7	A: 2. 
2	A: 4. 
35	A: 1. 
Time (s): 0.00365223
6	A: 3. 
9	A: 2. 
2	A: 4. 
31	A: 1. 
Time (s): 0.00410876
7	A: 3. 
10	A: 2. 
2	A: 4. 
26	A: 1. 
Time (s): 0.00456528
9	A: 3. 
8	A: 2. 
2	A: 4. 
24	A: 1. 
Time (s): 0.00502181
10	A: 3. 
21	A: 1. 
2	A: 4. 
8	A: 2. 
Time (s): 0.00547834
10	A: 3. 
19	A: 1. 
3	A: 4. 
7	A: 2. 
Time (s): 0.00593487
10	A: 3. 
13	A: 1. 
3	A: 4. 
10	A: 2. 
Time (s): 0.0063914
10	A: 3. 
13	A: 1. 
3	A: 4. 
10	A: 2. 
Time (s): 0.00684793
10	A: 3. 
13	A: 1. 
3	A: 4. 
10	A: 2. 
Time (s): 0.00730446
11	A: 3. 
12	A: 1. 
3	A: 4. 
9	A: 2. 
Time (s): 0.00776098
11	A: 3. 
12	A: 1. 
3	A: 4. 
9	A: 2. 
Time (s): 0.00821751
11	A: 3. 
12	A: 1. 
3	A: 4. 
9	A: 2. 
Time (s): 0.00867404
11	A: 3. 
12	A: 1. 
3	A: 4. 
9	A: 2. 
Time (s): 0.00913057
11	A: 3. 
12	A: 1. 
3	A: 4. 
9	A: 2. 
Time (s): 0.0095871
11	A: 3. 
12	A: 1. 
4	A: 4. 
7	A: 2. 
Time (s): 0.0100436
11	A: 3. 
12	A: 1. 
4	A: 4. 
7	A: 2. 
Time (s): 0.0105002
10	A: 3. 
11	A: 1. 
5	A: 4. 
7	A: 2. 
Time (s): 0.0109567
10	A: 3. 
11	A: 1. 
5	A: 4. 
7	A: 2. 
Time (s): 0.0114132
9	A: 3. 
12	A: 1. 
6	A: 4. 
6	A: 2. 
Time (s): 0.0118697
9	A: 3. 
12	A: 1. 
6	A: 4. 
6	A: 2. 
Time (s): 0.0123263
9	A: 3. 
12	A: 1. 
6	A: 4. 
6	A: 2. 
Time (s): 0.0127828
8	A: 3. 
11	A: 1. 
7	A: 4. 
6	A: 2. 
Time (s): 0.0132393
8	A: 3. 
11	A: 1. 
7	A: 4. 
6	A: 2. 
Time (s): 0.0136959
8	A: 3. 
11	A: 1. 
7	A: 4. 
6	A: 2. 
Time (s): 0.0141524
8	A: 3. 
11	A: 1. 
7	A: 4. 
6	A: 2. 
Time (s): 0.0146089
8	A: 3. 
11	A: 1. 
7	A: 4. 
6	A: 2. 
Time (s): 0.0150654
8	A: 3. 
9	A: 1. 
7	A: 4. 
7	A: 2. 
Time (s): 0.015522
7	A: 3. 
8	A: 1. 
8	A: 4. 
7	A: 2. 
Time (s): 0.0159785
6	A: 3. 
5	A: 1. 
9	A: 4. 
8	A: 2. 
Time (s): 0.016435
6	A: 3. 
5	A: 1. 
9	A: 4. 
8	A: 2. 
Time (s): 0.0168916
2	A: 1. 
8	A: 2. 
9	A: 4. 
7	A: 3. 
Time (s): 0.0173481
2	A: 1. 
8	A: 2. 
9	A: 4. 
7	A: 3. 
Time (s): 0.0178046
4	A: 1. 
7	A: 2. 
9	A: 4. 
7	A: 3. 
Time (s): 0.0182611
4	A: 1. 
7	A: 2. 
9	A: 4. 
7	A: 3. 
Time (s): 0.0187177
4	A: 1. 
7	A: 2. 
9	A: 4. 
7	A: 3. 
Time (s): 0.0191742
2	A: 1. 
8	A: 2. 
9	A: 4. 
7	A: 3. 
Time (s): 0.0196307
2	A: 1. 
8	A: 2. 
9	A: 4. 
7	A: 3. 
Time (s): 0.0200873
2	A: 1. 
8	A: 2. 
9	A: 4. 
7	A: 3. 
Time (s): 0.0205438
2	A: 1. 
8	A: 2. 
9	A: 4. 
7	A: 3. 
Time (s): 0.0210003
2	A: 1. 
8	A: 2. 
9	A: 4. 
7	A: 3. 
Time (s): 0.0214568
2	A: 1. 
8	A: 2. 
9	A: 4. 
7	A: 3. 
Time (s): 0.0219134
2	A: 1. 
8	A: 2. 
9	A: 4. 
7	A: 3. 
Time (s): 0.0223699
4	A: 1. 
7	A: 2. 
9	A: 4. 
7	A: 3. 
Time (s): 0.0228264
4	A: 1. 
7	A: 2. 
9	A: 4. 
7	A: 3. 
Time (s): 0.023283
4	A: 1. 
