TIME (s) 	MONO:A	DIMERS W:A	
0	75	0	
0.000456528	68	2	
0.000913057	59	5	
0.00136959	51	6	
0.00182611	45	6	
0.00228264	39	7	
0.00273917	39	7	
0.0031957	35	7	
0.00365223	31	9	
0.00410876	26	10	
0.00456528	24	8	
0.00502181	21	8	
0.00547834	19	7	
0.00593487	13	10	
0.0063914	13	10	
0.00684793	13	10	
0.00730446	12	9	
0.00776098	12	9	
0.00821751	12	9	
0.00867404	12	9	
0.00913057	12	9	
0.0095871	12	7	
0.0100436	12	7	
0.0105002	11	7	
0.0109567	11	7	
0.0114132	12	6	
0.0118697	12	6	
0.0123263	12	6	
0.0127828	11	6	
0.0132393	11	6	
0.0136959	11	6	
0.0141524	11	6	
0.0146089	11	6	
0.0150654	9	7	
0.015522	8	7	
0.0159785	5	8	
0.016435	5	8	
0.0168916	2	8	
0.0173481	2	8	
0.0178046	4	7	
0.0182611	4	7	
0.0187177	4	7	
0.0191742	2	8	
0.0196307	2	8	
0.0200873	2	8	
0.0205438	2	8	
0.0210003	2	8	
0.0214568	2	8	
0.0219134	2	8	
0.0223699	4	7	
0.0228264	4	7	
0.023283	4	7	
0.0237395	4	7	
0.024196	4	7	
0.0246525	4	7	
0.0251091	4	7	
0.0255656	4	7	
0.0260221	4	7	
0.0264786	4	7	
0.0269352	2	8	
0.0273917	4	7	
0.0278482	4	7	
0.0283048	4	7	
0.0287613	4	7	
0.0292178	4	7	
0.0296743	4	7	
0.0301309	3	6	
0.0305874	3	6	
0.0310439	3	6	
0.0315005	3	6	
0.031957	2	6	
0.0324135	1	5	
0.03287	1	5	
0.0333266	1	5	
0.0337831	1	5	
0.0342396	1	5	
0.0346962	1	5	
0.0351527	1	5	
0.0356092	1	5	
0.0360657	1	5	
0.0365223	1	3	
0.0369788	1	3	
0.0374353	1	3	
0.0378919	1	3	
0.0383484	1	3	
0.0388049	1	3	
0.0392614	1	3	
0.039718	1	3	
0.0401745	1	3	
0.040631	0	2	
0.0410876	0	2	
0.0415441	0	2	
0.0420006	2	1	
0.0424571	2	1	
0.0429137	2	1	
0.0433702	2	1	
0.0438267	2	1	
0.0442833	2	1	
0.0447398	2	1	
0.0451963	2	1	
0.0456528	2	1	
0.0461094	2	1	
0.0465659	2	1	
0.0470224	2	1	
0.047479	2	1	
0.0479355	2	1	
0.048392	2	1	
0.0488485	2	1	
0.0493051	2	1	
0.0497616	2	1	
0.0502181	2	1	
0.0506747	2	1	
0.0511312	1	1	
0.0515877	1	1	
0.0520442	1	1	
0.0525008	1	1	
0.0529573	3	0	
0.0534138	3	0	
0.0538704	3	0	
0.0543269	3	0	
0.0547834	3	0	
0.0552399	3	0	
0.0556965	3	0	
0.056153	3	0	
0.0566095	3	0	
0.0570661	3	0	
0.0575226	2	0	
0.0579791	2	0	
0.0584356	2	0	
0.0588922	2	0	
0.0593487	2	0	
0.0598052	2	0	
0.0602618	1	0	
0.0607183	0	0	
0.0611748	0	0	
0.0616313	0	0	
0.0620879	0	0	
0.0625444	0	0	
0.0630009	0	0	
0.0634575	0	0	
0.063914	0	0	
0.0643705	0	0	
0.064827	0	0	
0.0652836	0	0	
0.0657401	0	0	
0.0661966	0	0	
0.0666532	0	0	
0.0671097	0	0	
0.0675662	0	0	
0.0680227	0	0	
0.0684793	0	0	
0.0689358	0	0	
0.0693923	0	0	
0.0698489	0	0	
0.0703054	0	0	
0.0707619	0	0	
0.0712184	0	0	
0.071675	0	0	
0.0721315	0	0	
0.072588	0	0	
0.0730446	0	0	
0.0735011	0	0	
0.0739576	0	0	
0.0744141	0	0	
0.0748707	0	0	
0.0753272	0	0	
0.0757837	0	0	
0.0762403	0	0	
0.0766968	0	0	
0.0771533	0	0	
0.0776098	0	0	
0.0780664	0	0	
0.0785229	0	0	
0.0789794	0	0	
0.0794359	0	0	
0.0798925	0	0	
0.080349	0	0	
0.0808055	0	0	
0.0812621	0	0	
0.0817186	0	0	
0.0821751	0	0	
0.0826316	0	0	
0.0830882	0	0	
0.0835447	0	0	
0.0840012	0	0	
0.0844578	0	0	
0.0849143	0	0	
0.0853708	0	0	
0.0858273	0	0	
0.0862839	0	0	
0.0867404	0	0	
0.0871969	0	0	
0.0876535	0	0	
0.08811	0	0	
0.0885665	0	0	
0.089023	0	0	
0.0894796	0	0	
0.0899361	0	0	
0.0903926	0	0	
0.0908492	0	0	
0.0913057	0	0	
0.0917622	0	0	
0.0922187	0	0	
0.0926753	0	0	
0.0931318	0	0	
0.0935883	0	0	
0.0940449	0	0	
0.0945014	0	0	
0.0949579	0	0	
0.0954144	0	0	
0.095871	0	0	
0.0963275	0	0	
0.096784	0	0	
0.0972406	0	0	
0.0976971	0	0	
0.0981536	0	0	
0.0986101	0	0	
0.0990667	0	0	
0.0995232	0	0	
0.0999797	0	0	
0.100436	0	0	
0.100893	0	0	
0.101349	0	0	
0.101806	0	0	
0.102262	0	0	
0.102719	0	0	
0.103175	0	0	
0.103632	0	0	
0.104088	0	0	
0.104545	0	0	
0.105002	0	0	
0.105458	0	0	
0.105915	0	0	
0.106371	0	0	
0.106828	0	0	
0.107284	0	0	
0.107741	0	0	
0.108197	0	0	
0.108654	0	0	
