TIME(s)	'A,A'	Nloops	nOverlapPartner	nOverlapSystem	nOverlapSpanBox	nDisplace2D	nDisplace3D	nDisplace3Dto2D	nAssocSuccess
0	0	0	0	0	0	0	0	0	0
0.0004	0	0	0	0	0	0	0	0	0
0.0008	0	0	0	0	0	0	0	0	1
0.0012	0	0	0	0	0	0	0	0	2
0.0016	0	0	0	0	0	0	0	0	2
0.002	0	0	0	0	0	0	0	0	4
0.0024	0	0	0	0	0	0	0	0	4
0.0028	1	0	0	0	0	0	0	0	5
0.0032	4	0	0	0	0	0	0	0	8
0.0036	5	1	0	0	0	0	0	0	10
0.004	6	1	0	0	0	0	0	0	11
0.0044	7	1	0	0	0	0	0	0	12
0.0048	8	1	0	0	0	0	0	0	13
0.0052	8	1	0	0	0	0	0	0	14
0.0056	6	0	0	0	0	0	0	0	15
0.006	7	0	0	0	0	0	0	0	16
0.0064	8	0	0	0	0	0	0	0	17
0.0068	9	0	0	0	0	0	0	0	18
0.0072	8	0	0	0	0	0	0	0	18
0.0076	8	0	0	0	0	0	0	0	18
0.008	9	0	0	0	0	0	0	0	19
0.0084	9	0	0	0	0	0	0	0	19
0.0088	10	0	0	0	0	0	0	0	21
0.0092	12	1	0	0	0	0	0	0	22
0.0096	12	1	0	0	0	0	0	0	23
0.01	13	1	0	0	0	0	0	0	24
0.0104	13	1	0	0	0	0	0	0	24
0.0108	13	1	0	0	0	0	0	0	24
0.0112	13	1	0	0	0	0	0	0	24
0.0116	13	1	0	0	0	0	0	0	24
0.012	13	1	0	0	0	0	0	0	24
0.0124	13	1	0	0	0	0	0	0	24
0.0128	15	2	0	0	0	0	0	0	25
0.0132	15	2	0	0	0	0	0	0	25
0.0136	15	2	0	0	0	0	0	0	26
0.014	16	2	0	0	0	0	0	0	27
0.0144	16	2	0	0	0	0	0	0	27
0.0148	16	2	0	0	0	0	0	0	27
0.0152	15	1	0	0	0	0	0	0	28
0.0156	14	1	0	0	0	0	0	0	29
