Time (s),A(A1),A(A2),A(A3),A(A4),A(A1!1).A(A2!1),A(A3!1).A(A4!1)
0,130,130,130,130,0,0
0.0004,130,130,130,130,0,0
0.0008,130,130,130,130,0,0
0.0012,130,130,130,130,0,0
0.0016,130,130,130,130,0,0
0.002,130,130,130,130,0,0
0.0024,130,130,130,130,0,0
0.0028,129,129,130,130,1,0
0.0032,127,127,129,129,3,1
0.0036,127,127,128,128,3,2
0.004,126,126,128,128,4,2
0.0044,125,125,128,128,5,2
0.0048,124,124,128,128,6,2
0.0052,124,124,128,128,6,2
0.0056,124,124,130,130,6,0
0.006,123,123,130,130,7,0
0.0064,122,122,130,130,8,0
0.0068,122,122,129,129,8,1
0.0072,122,122,130,130,8,0
0.0076,122,122,130,130,8,0
0.008,121,121,130,130,9,0
0.0084,121,121,130,130,9,0
0.0088,120,120,130,130,10,0
0.0092,120,120,128,128,10,2
0.0096,120,120,128,128,10,2
0.01,119,119,128,128,11,2
0.0104,119,119,128,128,11,2
0.0108,119,119,128,128,11,2
0.0112,119,119,128,128,11,2
0.0116,119,119,128,128,11,2
0.012,119,119,128,128,11,2
0.0124,119,119,128,128,11,2
0.0128,119,119,126,126,11,4
0.0132,119,119,126,126,11,4
0.0136,119,119,126,126,11,4
0.014,118,118,126,126,12,4
0.0144,118,118,126,126,12,4
0.0148,118,118,126,126,12,4
0.0152,118,118,127,127,12,3
0.0156,118,118,128,128,12,2
0.016,118,118,128,128,12,2
0.0164,117,117,128,128,13,2
0.0168,115,115,128,128,15,2
0.0172,115,115,128,128,15,2
0.0176,115,115,128,128,15,2
0.018,114,114,128,128,16,2
0.0184,114,114,128,128,16,2
0.0188,114,114,127,127,16,3
0.0192,114,114,128,128,16,2
0.0196,114,114,128,128,16,2
0.02,114,114,128,128,16,2
0.0204,114,114,127,127,16,3
0.0208,114,114,128,128,16,2
0.0212,113,113,128,128,17,2
0.0216,112,112,127,127,18,3
0.022,112,112,127,127,18,3
0.0224,112,112,127,127,18,3
0.0228,112,112,127,127,18,3
0.0232,112,112,127,127,18,3
0.0236,112,112,127,127,18,3
0.024,110,110,127,127,20,3
0.0244,110,110,127,127,20,3
0.0248,110,110,127,127,20,3
0.0252,109,109,127,127,21,3
0.0256,109,109,127,127,21,3
0.026,108,108,127,127,22,3
0.0264,108,108,127,127,22,3
0.0268,107,107,127,127,23,3
0.0272,107,107,127,127,23,3
0.0276,106,106,126,126,24,4
0.028,105,105,127,127,25,3
0.0284,105,105,125,125,25,5
0.0288,105,105,125,125,25,5
0.0292,105,105,125,125,25,5
0.0296,104,104,124,124,26,6
0.03,104,104,124,124,26,6
0.0304,104,104,124,124,26,6
0.0308,103,103,124,124,27,6
0.0312,103,103,124,124,27,6
0.0316,102,102,124,124,28,6
0.032,102,102,124,124,28,6
0.0324,101,101,124,124,29,6
0.0328,101,101,124,124,29,6
0.0332,101,101,124,124,29,6
0.0336,101,101,124,124,29,6
0.034,101,101,125,125,29,5
0.0344,101,101,123,123,29,7
0.0348,101,101,124,124,29,6
0.0352,101,101,124,124,29,6
0.0356,101,101,124,124,29,6
