TIME (s) 	MONO:A	DIMERS W:A	
0	130	0	
0.0004	130	0	
0.0008	130	0	
0.0012	130	0	
0.0016	130	0	
0.002	130	0	
0.0024	130	0	
0.0028	128	1	
0.0032	122	4	
0.0036	123	2	
0.004	121	3	
0.0044	119	4	
0.0048	117	5	
0.0052	117	5	
0.0056	118	6	
0.006	116	7	
0.0064	114	8	
0.0068	112	9	
0.0072	114	8	
0.0076	114	8	
0.008	112	9	
0.0084	112	9	
0.0088	110	10	
0.0092	109	9	
0.0096	109	9	
0.01	107	10	
0.0104	107	10	
0.0108	107	10	
0.0112	107	10	
0.0116	107	10	
0.012	107	10	
0.0124	107	10	
0.0128	106	9	
0.0132	106	9	
0.0136	106	9	
0.014	104	10	
0.0144	104	10	
0.0148	104	10	
0.0152	103	12	
0.0156	105	11	
0.016	105	11	
0.0164	103	12	
0.0168	99	14	
0.0172	99	14	
0.0176	99	14	
0.018	97	15	
0.0184	97	15	
0.0188	96	14	
0.0192	97	15	
0.0196	97	15	
0.02	97	15	
0.0204	95	16	
0.0208	97	15	
0.0212	96	14	
0.0216	95	14	
0.022	95	14	
0.0224	95	14	
0.0228	95	14	
0.0232	95	14	
0.0236	95	14	
0.024	91	16	
0.0244	91	16	
0.0248	91	16	
0.0252	89	17	
0.0256	89	17	
0.026	88	16	
0.0264	88	16	
0.0268	86	17	
0.0272	86	17	
0.0276	84	17	
0.028	83	17	
0.0284	82	16	
0.0288	82	16	
0.0292	82	16	
0.0296	81	16	
0.03	81	16	
0.0304	81	16	
0.0308	79	17	
0.0312	79	17	
0.0316	78	16	
0.032	78	16	
0.0324	77	15	
0.0328	77	15	
0.0332	77	15	
0.0336	77	15	
0.034	77	15	
0.0344	76	14	
0.0348	77	15	
0.0352	77	15	
0.0356	77	15	
0.036	75	16	
0.0364	75	16	
0.0368	73	17	
0.0372	73	17	
0.0376	73	17	
0.038	72	17	
0.0384	72	17	
0.0388	70	17	
0.0392	69	16	
0.0396	69	16	
0.04	69	16	
0.0404	69	16	
0.0408	69	16	
0.0412	65	18	
0.0416	67	17	
0.042	67	17	
0.0424	67	17	
0.0428	67	17	
0.0432	67	17	
0.0436	67	17	
0.044	67	17	
0.0444	67	17	
0.0448	65	18	
0.0452	65	18	
0.0456	64	17	
0.046	64	17	
0.0464	64	17	
0.0468	64	17	
0.0472	65	18	
0.0476	65	18	
0.048	65	18	
0.0484	65	18	
0.0488	64	17	
0.0492	64	17	
0.0496	64	17	
0.05	64	17	
0.0504	64	17	
0.0508	64	17	
0.0512	64	17	
0.0516	64	17	
0.052	64	17	
0.0524	64	17	
0.0528	64	17	
0.0532	64	17	
0.0536	64	17	
0.054	62	18	
0.0544	60	17	
0.0548	59	17	
0.0552	59	17	
0.0556	59	17	
0.056	58	16	
0.0564	60	17	
0.0568	60	17	
0.0572	60	17	
0.0576	60	17	
0.058	60	17	
0.0584	60	17	
0.0588	60	17	
0.0592	60	17	
0.0596	60	17	
0.06	59	17	
0.0604	59	17	
0.0608	59	17	
0.0612	59	17	
0.0616	59	17	
0.062	59	17	
0.0624	59	17	
0.0628	57	15	
0.0632	57	15	
0.0636	57	15	
0.064	55	16	
0.0644	56	17	
0.0648	56	17	
0.0652	56	17	
0.0656	56	17	
0.066	57	18	
0.0664	57	18	
0.0668	57	18	
0.0672	57	18	
0.0676	57	18	
0.068	57	18	
0.0684	57	18	
0.0688	57	18	
0.0692	57	18	
0.0696	57	18	
0.07	57	18	
0.0704	58	19	
0.0708	56	17	
0.0712	56	16	
0.0716	57	17	
0.072	57	17	
0.0724	57	17	
0.0728	56	16	
0.0732	56	16	
0.0736	56	16	
0.074	56	16	
0.0744	56	16	
0.0748	56	16	
0.0752	56	16	
0.0756	56	16	
0.076	56	16	
0.0764	56	16	
0.0768	56	16	
0.0772	56	16	
0.0776	56	16	
0.078	56	16	
0.0784	56	16	
0.0788	56	16	
0.0792	56	16	
0.0796	55	16	
0.0799996	55	16	
